_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1114 , "PBC J1949.5+3011" , 297.385 , 30.19881 , "66.08" , "2.08" , "(45.7+/-3.4)x10-12" , "HXB " , 0 , " -- " , "KS 1947+300 "
1115 , "PBC J1952.2+0230" , 298.035 , 2.48122 , "42.22" , "-12.3" , "(2.8+/-1.6)x10-11" , "Sy2 " , 0.059 , " -- " , "3C 403 "
1116 , "PBC J1955.6+3205" , 298.91833 , 32.08531 , "68.37" , "1.92" , "(223.4+/-2.8)x10-12" , "LXB " , 0 , " -- " , "3A 1954+319 "
1117 , "PBC J1958.2+3232" , 299.5375 , 32.51417 , "69.01" , "1.7" , "(11.6+/-6.2)x10-12" , "CV* " , 0 , " -- " , "V* V2306 Cyg "
1118 , "PBC J1958.3+3512" , 299.58917 , 35.20356 , "71.33" , "3.06" , "(1.9e+4+/-5)x10-12" , "HXB " , 0 , " -- " , "Cyg X-1 "
1119 , "PBC J1959.2+1143" , 299.82833 , 11.7015 , "51.29" , "-9.32" , "(17.8+/-5.9)x10-12" , "LXB " , 0 , " -- " , "4U 1957+115 "
1120 , "PBC J1959.4+4044" , 299.86875 , 40.73108 , "76.18" , "5.75" , "(104.6+/-3.6)x10-12" , "Sy2 " , 0.056 , " -- " , "Cygnus A "
1121 , "PBC J2000.9-1812" , 300.22875 , -18.19414 , "23.62" , "-23.26" , "(16.1+/-9)x10-12" , "Sy1 " , 0.037 , " -- " , "2MASX J2000557"
1122 , "PBC J2000.3+3211" , 300.07917 , 32.17792 , "68.97" , "1.13" , "(42.3+/-4)x10-12" , "HXB " , 0 , " -- " , "IGR J20006+321"
1123 , "PBC J1959.8+6509" , 299.94625 , 65.15072 , "97.99" , "17.69" , "(33.3+/-3.8)x10-12" , "BLA " , 0.048 , "BZB (BL Lac)" , "1ES 1959+650 "
1124 , "PBC J2004.6-1113" , 301.1675 , -11.22111 , "30.92" , "-21.29" , "(8.9+/-5.1)x10-12" , " " , 0 , " -- " , "PBC J2004.6-11"
1125 , "PBC J2006.9-3433" , 301.70667 , -34.5555 , "6.73" , "-29.7" , "(1.8+/-1)x10-11" , "Sy1 " , 0.025 , " -- " , "ESO 399-20 "
1126 , "PBC J2003.7+7015" , 300.93542 , 70.25903 , "102.99" , "19.62" , "(5.4+/-3.2)x10-12" , " " , 0 , " -- " , "PBC J2003.7+70"
