_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
73 , "PCCS1 070 G140.21-16.73 "  ,, 35.76 , 43.04806 , 140.20599 , -16.73 , "963.2+/-172.8" , "987.9+/-344" , "400+/-101.4" , "786.4+/-171.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G140.20-16.77" , "14.7+/-3.3" , "12.2+/-2.7" , "5.5+/-47.4" , 13.4
74 , "PCCS1 070 G235.84-69.26 "  ,, 35.82708 , -33.30556 , 235.841 , -69.265 , "678.8+/-157" , "439.3+/-202.7" , "582.6+/-97.4" , "767.9+/-157.8" , 1.4 , "No" , 0 , 2 , " " , "26+/-0.6" , "10.5+/-2.5" , "172.4+/-9.3" , 16.5
75 , "PCCS1 070 G159.68-49.10 "  ,, 36.1075 , 7.02111 , 159.683 , -49.10001 , "1137.5+/-164" , "914.2+/-308.1" , "1088.2+/-121.7" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
76 , "PCCS1 070 G262.73-64.09 "  ,, 36.37167 , -45.005 , 262.728 , -64.089 , "590.2+/-133.8" , "566.9+/-239.4" , "321.2+/-100.3" , "522.1+/-159.4" , 1.4 , "No" , 0 , 2 , " " , "30.5+/-1.4" , "12.5+/-4.5" , "45.5+/-14" , 19.5
77 , "PCCS1 070 G133.73+01.21 "  ,, 36.43875 , 62.09056 , 133.726 , 1.212 , "4.7e+4+/-481.3" , "7.1e+4+/-2379" , "6.2e+4+/-1531.6" , "1.0e+5+/-1125.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G133.72+01.19" , "21.1+/-0.2" , "17.5+/-0.2" , "58.1+/-2.4" , 19.2
78 , "PCCS1 070 G134.24+00.77 "  ,, 37.11167 , 61.49139 , 134.239 , 0.768 , "4508.2+/-622.8" , "7199.6+/-1184.2" , "6.2e+4+/-1531.6" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G134.26+00.74" , "-" , "-" , "-" , -9.9
79 , "PCCS1 070 G132.12+06.26 "  ,, 37.24167 , 67.37528 , 132.125 , 6.261 , "1224.9+/-137.1" , "1263.6+/-251.3" , "1006.8+/-105.2" , "788+/-108.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G132.13+06.24" , "12.9+/-1.8" , "10.1+/-1.4" , "4.7+/-23.5" , 11.4
80 , "PCCS1 070 G134.79+00.93 "  ,, 38.3 , 61.43389 , 134.787 , 0.927 , "3287.9+/-484.1" , "3440.3+/-1008.4" , "6.2e+4+/-1531.6" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G134.80+00.93" , "-" , "-" , "-" , -9.9
81 , "PCCS1 070 G135.25+01.00 "  ,, 39.25042 , 61.32194 , 135.25 , 1.001 , "2532.7+/-585" , "6512.4+/-704" , "5581.9+/-1140.7" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
82 , "PCCS1 070 G283.16-51.29 "  ,, 39.26583 , -61.59139 , 283.15701 , -51.289 , "639.9+/-114.9" , "428.1+/-158.4" , "506.2+/-76.2" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
83 , "PCCS1 070 G149.49-28.55 "  ,, 39.47583 , 28.7725 , 149.48801 , -28.552 , "1953+/-147.9" , "1607.7+/-345.3" , "1636.8+/-107.7" , "1720.4+/-156.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G149.47-28.54" , "17.4+/-1.6" , "11.9+/-1.1" , "44.3+/-9.6" , 14.4
84 , "PCCS1 070 G156.79-39.11 "  ,, 39.67167 , 16.61028 , 156.785 , -39.11 , "1510.2+/-185.4" , "1482.7+/-201.6" , "1475.3+/-97.6" , "1360.7+/-156.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G156.79-39.11" , "16.2+/-1.9" , "11.5+/-1.3" , "69.3+/-13.4" , 13.6
85 , "PCCS1 070 G174.17-54.27 "  ,, 39.97417 , -2.56667 , 174.16901 , -54.272 , "1132.9+/-163.8" , "826.3+/-279.1" , "782.3+/-119.4" , "475.3+/-113.3" , 1.4 , "No" , 0 , 2 , " " , "10.8+/-2.6" , "8.4+/-2" , "34.8+/-39.3" , 9.5
86 , "PCCS1 070 G182.08-57.85 "  ,, 40.35125 , -8.23167 , 182.08099 , -57.84801 , "968.5+/-174.1" , "360+/-343.5" , "588.8+/-126" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
87 , "PCCS1 070 G161.89-43.33 "  ,, 40.62625 , 10.985 , 161.88699 , -43.32899 , "1032.9+/-205.3" , "861.3+/-418.4" , "871.2+/-113.2" , "2282+/-294.3" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G161.83-43.29" , "42.1+/-0.8" , "17+/-2.6" , "59.7+/-5.8" , 26.8
88 , "PCCS1 070 G258.65-61.06 "  ,, 41.40917 , -45.01917 , 258.64999 , -61.062 , "549.4+/-121.6" , "657.8+/-234.3" , "322.9+/-97.8" , "1321.3+/-235.1" , 1.4 , "Yes" , 0 , 2 , " " , "38.1+/-1.1" , "15.5+/-3.3" , "86.9+/-8.1" , 24.3
89 , "PCCS1 070 G261.81-60.12 "  ,, 41.47 , -46.8325 , 261.811 , -60.123 , "924+/-132.4" , "797.7+/-170.1" , "729.7+/-74.8" , "415.9+/-88.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G261.79-60.09" , "12.6+/-2.7" , "6.8+/-1.4" , "92.7+/-13.5" , 9.3
90 , "PCCS1 070 G136.89+01.03 "  ,, 42.35458 , 60.66528 , 136.892 , 1.032 , "2653.1+/-252" , "5961+/-897" , "5072.8+/-367.8" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G136.89+01.03" , "-" , "-" , "-" , -9.9
91 , "PCCS1 070 G272.46-54.60 "  ,, 43.41125 , -54.69111 , 272.45901 , -54.59599 , "1588.6+/-136.7" , "2093.3+/-198.2" , "1860.2+/-98.2" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G272.47-54.60" , "-" , "-" , "-" , -9.9
92 , "PCCS1 070 G145.01-09.84 "  ,, 45.94208 , 47.27861 , 145.009 , -9.841 , "1708.8+/-185.7" , "1576.8+/-226.2" , "1469.6+/-97.9" , "1372.9+/-142.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G144.99-09.85" , "14.8+/-1.6" , "12.2+/-1.3" , "31.9+/-22" , 13.4
93 , "PCCS1 070 G280.27-48.67 "  ,, 45.95083 , -62.21944 , 280.26599 , -48.673 , "1143.6+/-130.1" , "1255.5+/-165.9" , "1266.4+/-83.6" , "3368.5+/-277.5" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G280.20-48.70" , "46.5+/-0.9" , "18.7+/-1.8" , "171.8+/-3.6" , 29.5
94 , "PCCS1 070 G174.87-44.52 "  ,, 47.10833 , 4.09806 , 174.87 , -44.52299 , "964.7+/-155.8" , "1244.6+/-267.8" , "1024.3+/-101.9" , "2042.6+/-235.3" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G174.85-44.53" , "24+/-2.9" , "20.2+/-2.4" , "124.1+/-27.4" , 22.1
95 , "PCCS1 070 G169.18-39.74 "  ,, 47.25125 , 10.46889 , 169.18201 , -39.742 , "1256.6+/-171.4" , "1390.3+/-215" , "1266.4+/-108.2" , "3901.3+/-385" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G169.18-39.71" , "48.8+/-2.8" , "20+/-2.3" , "67.6+/-4.3" , 31.2
96 , "PCCS1 070 G278.13-48.95 "  ,, 47.45667 , -60.97639 , 278.129 , -48.952 , "807.2+/-126.8" , "755.7+/-250.9" , "779.4+/-95.9" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
97 , "PCCS1 070 G293.43-37.54 "  ,, 48.0225 , -76.86972 , 293.435 , -37.542 , "763.5+/-95.5" , "1038.3+/-186.1" , "1025.7+/-81.3" , "3884.7+/-205.9" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G293.44-37.53" , "45+/-2.6" , "25.5+/-1.5" , "164.3+/-3.6" , 33.9
98 , "PCCS1 070 G149.58-14.08 "  ,, 48.28 , 41.34694 , 149.584 , -14.078 , "1030.4+/-173.4" , "752.5+/-229.9" , "8401.5+/-492.1" , "281.5+/-202.1" , 1.4 , "No" , 0 , 2 , " " , "9.6+/-6.9" , "6.2+/-4.6" , "44.6+/-67.3" , 7.7
99 , "PCCS1 070 G254.47-56.11 "  ,, 49.065 , -45.04167 , 254.47301 , -56.108 , "554.2+/-123.9" , "939.5+/-179.2" , "607.7+/-86.7" , "2209.3+/-293.5" , 1.4 , "Yes" , 0 , 0 , " " , "45.6+/-3.4" , "18.7+/-2.9" , "108.4+/-5.9" , 29.2
100 , "PCCS1 070 G150.59-13.27 " ,, 49.95292 , 41.49639 , 150.586 , -13.273 , "1.2e+4+/-163.3" , "1.1e+4+/-332.9" , "1.1e+4+/-201.8" , "1.1e+4+/-151.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G150.59-13.25" , "17.2+/-0.2" , "11.4+/-0.2" , "48.2+/-1.4" , 14
101 , "PCCS1 070 G240.11-56.93 " ,, 50.38333 , -37.15361 , 240.112 , -56.92599 , "1275.2+/-170.3" , "1649.8+/-240.9" , "1251.1+/-116.8" , "2072.3+/-173.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G240.14-56.90" , "20.2+/-1.7" , "15.4+/-1.3" , "6.8+/-12.5" , 17.6
102 , "PCCS1 070 G240.23-56.41 " ,, 51.01958 , -37.27528 , 240.228 , -56.409 , "1321.7+/-162.6" , "1444.9+/-244.5" , "1251.1+/-116.8" , "3593.1+/-236.1" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G240.21-56.40" , "47.8+/-0.5" , "19.1+/-1.5" , "97.4+/-2.9" , 30.2
103 , "PCCS1 070 G163.68-28.02 " ,, 51.41083 , 22.39611 , 163.679 , -28.02 , "1139.8+/-166.1" , "1087.1+/-253.3" , "437.9+/-102.5" , "937.5+/-143.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G163.68-28.04" , "14+/-2.2" , "11.9+/-1.9" , "150.7+/-39.8" , 12.9
104 , "PCCS1 070 G142.04+01.73 " ,, 51.87 , 58.68389 , 142.03799 , 1.726 , "759.1+/-169.2" , "879.6+/-248.7" , "682.6+/-113.7" , "3817.5+/-454.9" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G142.05+01.73" , "52.9+/-1.5" , "21.4+/-3.1" , "40.7+/-5.3" , 33.7
105 , "PCCS1 070 G158.32-20.52 " ,, 52.26292 , 31.31056 , 158.31799 , -20.522 , "1489.2+/-187.1" , "2000.8+/-280.3" , "1871.1+/-117.9" , "6398.7+/-393.6" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G158.33-20.53" , "45.3+/-3" , "19.3+/-1.3" , "64.5+/-2.6" , 29.6
106 , "PCCS1 070 G240.10-54.40 " ,, 53.54333 , -37.39444 , 240.09801 , -54.39999 , "600+/-146.1" , "547.4+/-220.4" , "160.5+/-83.3" , "561.8+/-140.8" , 1.4 , "No" , 0 , 2 , " " , "16.4+/-4.2" , "8.5+/-2.2" , "36.4+/-14.6" , 11.8
107 , "PCCS1 070 G244.79-54.07 " ,, 53.55458 , -40.15833 , 244.795 , -54.07401 , "2107.6+/-163.5" , "2139.6+/-179.1" , "2026.4+/-84.7" , "2409.7+/-138.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G244.77-54.05" , "15.5+/-0.9" , "14.5+/-0.9" , "8.8+/-38.1" , 15
108 , "PCCS1 070 G159.00-18.77 " ,, 54.12417 , 32.30778 , 158.99899 , -18.766 , "2053.9+/-200.2" , "1817.5+/-285.8" , "1790.8+/-110.8" , "1792.3+/-209.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G158.97-18.75" , "16.4+/-2" , "11.6+/-1.4" , "21.6+/-13.8" , 13.8
109 , "PCCS1 070 G187.98-42.47 " ,, 54.85583 , -1.76917 , 187.97501 , -42.46899 , "1721.1+/-157.6" , "1773.7+/-288.9" , "1662+/-108.7" , "1634.6+/-150.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G188.03-42.47" , "18.6+/-1.8" , "11.1+/-1" , "11.3+/-7" , 14.4
110 , "PCCS1 070 G160.47-17.99 " ,, 55.97917 , 32.02944 , 160.46899 , -17.993 , "1015.5+/-205.5" , "1661.1+/-323.5" , "1289.2+/-138.6" , "6796.3+/-505.8" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G160.45-18.02" , "53.8+/-1.3" , "21.8+/-2" , "113.8+/-3.3" , 34.2
111 , "PCCS1 070 G195.86-44.69 " ,, 56.16458 , -7.75694 , 195.864 , -44.69 , "626.5+/-155.1" , "823+/-277.8" , "235.8+/-95.5" , "3393.5+/-335.8" , 1.4 , "Yes" , 0 , 0 , " " , "51.8+/-5.6" , "23.7+/-2.6" , "20.5+/-4.7" , 35
112 , "PCCS1 070 G268.00-47.67 " ,, 56.36 , -55.93833 , 268.00201 , -47.674 , "594.2+/-116.9" , "719.3+/-216.6" , "287.4+/-74.7" , "778.1+/-163.6" , 1.4 , "No" , 0 , 0 , " " , "22.2+/-4.8" , "11.5+/-2.5" , "10+/-12.2" , 16
113 , "PCCS1 070 G234.20-51.84 " ,, 56.79792 , -33.91722 , 234.2 , -51.83701 , "776.3+/-180" , "72.5+/-332.1" , "863.2+/-108.4" , "252.5+/-322.3" , 1.4 , "Yes" , 0 , 0 , " " , "36.9+/-0.9" , "14.9+/-22.7" , "135.3+/-57.9" , 23.5
114 , "PCCS1 070 G235.54-51.56 " ,, 57.15458 , -34.74333 , 235.545 , -51.564 , "835.1+/-168.5" , "1035.9+/-242.5" , "863.2+/-108.4" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G235.56-51.54" , "-" , "-" , "-" , -9.9
115 , "PCCS1 070 G207.36-47.56 " ,, 57.2225 , -16.15472 , 207.362 , -47.563 , "860.4+/-161.2" , "670.7+/-203.6" , "318.2+/-104.4" , "389.3+/-119" , 1.4 , "No" , 0 , 2 , " " , "12.7+/-3.9" , "9.4+/-2.9" , "173.2+/-42" , 10.9
116 , "PCCS1 070 G177.45-30.60 " ,, 58.69333 , 12.27222 , 177.451 , -30.597 , "788+/-173" , "736.6+/-305.8" , "216.1+/-106.6" , "416.7+/-157.8" , 1.4 , "No" , 0 , 0 , " " , "15+/-5.8" , "13.1+/-5.1" , "26.7+/-110.6" , 14
117 , "PCCS1 070 G144.37+05.27 " ,, 59.735 , 60.09222 , 144.368 , 5.274 , "1405.3+/-170.1" , "1486+/-272.6" , "1269.6+/-111.2" , "1457.7+/-159.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G144.36+05.28" , "16.3+/-1.8" , "12.7+/-1.4" , "57.8+/-17.8" , 14.4
118 , "PCCS1 070 G150.38-01.60 " ,, 59.87542 , 50.96389 , 150.37801 , -1.603 , "8305.8+/-215.9" , "8032.2+/-272.5" , "9297.7+/-241.7" , "7142.2+/-491.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G150.39-01.60" , "15+/-1.1" , "11.2+/-0.8" , "32.1+/-9.7" , 13
119 , "PCCS1 070 G207.65-44.71 " ,, 60.02917 , -15.22694 , 207.655 , -44.713 , "758.6+/-164.6" , "670.5+/-260.7" , "229.2+/-103.7" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
120 , "PCCS1 070 G231.24-48.46 " ,, 60.64042 , -31.78 , 231.23599 , -48.463 , "730.9+/-136.3" , "889.8+/-276.4" , "632.2+/-89" , "2183.5+/-298.2" , 1.4 , "Yes" , 0 , 2 , " " , "54.7+/-1.4" , "22.2+/-3.7" , "56.9+/-6.1" , 34.9
121 , "PCCS1 070 G168.04-19.64 " ,, 60.78917 , 25.995 , 168.041 , -19.642 , "1172.4+/-182.5" , "1081.3+/-247.9" , "602.9+/-109.9" , "822.2+/-135.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G168.06-19.63" , "15.2+/-2.6" , "11.4+/-1.9" , "29+/-23.2" , 13.2
122 , "PCCS1 070 G150.61-00.93 " ,, 60.85792 , 51.32361 , 150.60699 , -0.927 , "7223.3+/-521.7" , "1.1e+4+/-521.5" , "9297.7+/-241.7" , "1.4e+4+/-716.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G150.60-00.92" , "18.8+/-1" , "16.9+/-0.9" , "30.5+/-20.4" , 17.8
123 , "PCCS1 070 G237.73-48.46 " ,, 61.005 , -36.07583 , 237.73199 , -48.45799 , "4295.4+/-153.4" , "4509.8+/-184.2" , "4497.6+/-84.8" , "5257.6+/-135.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G237.75-48.47" , "16.9+/-0.4" , "13.1+/-0.3" , "171.8+/-4.2" , 14.9
124 , "PCCS1 070 G285.48-38.27 " ,, 61.15917 , -71.62139 , 285.483 , -38.272 , "483.5+/-113.7" , "385.7+/-177.6" , "462.2+/-66.5" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
125 , "PCCS1 070 G205.79-42.68 " ,, 61.37708 , -13.16778 , 205.79401 , -42.679 , "847.3+/-157.7" , "945.9+/-237.1" , "857.5+/-105.2" , "1868.4+/-253.5" , 1.4 , "Yes" , 0 , 2 , " " , "42.8+/-0.6" , "17.2+/-2.8" , "10.9+/-6" , 27.1
126 , "PCCS1 070 G241.31-47.87 " ,, 61.77458 , -38.45611 , 241.30901 , -47.867 , "1129.2+/-135.1" , "916.2+/-158.7" , "918.7+/-79.8" , "814.2+/-103.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G241.28-47.88" , "14.3+/-1.9" , "11.9+/-1.5" , "174.3+/-27.4" , 13
127 , "PCCS1 070 G124.93+25.54 " ,, 61.86125 , 87.605 , 124.935 , 25.543 , "561+/-138.4" , "560+/-200.1" , "539.6+/-85.2" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
128 , "PCCS1 070 G204.91-41.80 " ,, 61.90333 , -12.20333 , 204.912 , -41.80299 , "957.2+/-158.2" , "687.3+/-235.4" , "857.5+/-105.2" , "550.9+/-139.8" , 1.4 , "No" , 0 , 2 , " " , "12.4+/-3.2" , "11.3+/-2.9" , "6+/-115.3" , 11.8
129 , "PCCS1 070 G151.62-00.27 " ,, 62.76583 , 51.12806 , 151.62399 , -0.27 , "8331+/-206.7" , "1.2e+4+/-651" , "9297.7+/-241.7" , "1.6e+4+/-552.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G151.62-00.25" , "20.6+/-0.7" , "18.1+/-0.6" , "63.6+/-11.2" , 19.3
130 , "PCCS1 070 G133.45+18.34 " ,, 62.81875 , 76.92389 , 133.446 , 18.338 , "881.2+/-134.4" , "639.9+/-275.6" , "547+/-86.7" , "476.8+/-109.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G133.42+18.35" , "13.3+/-3.1" , "8.3+/-1.9" , "25+/-19.4" , 10.5
131 , "PCCS1 070 G161.69-08.82 " ,, 64.5975 , 38.01333 , 161.69 , -8.824 , "2987.4+/-162.1" , "2678.5+/-291.8" , "2701.8+/-119.1" , "3861+/-188.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G161.70-08.82" , "19.7+/-1" , "14.6+/-0.7" , "61.1+/-6.7" , 17
132 , "PCCS1 070 G195.30-33.15 " ,, 65.81458 , -1.35194 , 195.299 , -33.146 , "6612.9+/-159.8" , "6617.4+/-289.7" , "6417.3+/-136.4" , "7323.3+/-167.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G195.29-33.13" , "17.4+/-0.4" , "13+/-0.3" , "32.1+/-3.2" , 15.1
133 , "PCCS1 070 G159.65-05.39 " ,, 65.9225 , 41.87278 , 159.646 , -5.387 , "740+/-181.5" , "1105.4+/-331.7" , "762+/-114.5" , "2104.4+/-239.1" , 1.4 , "Yes" , 0 , 2 , " " , "26.3+/-3.1" , "18.3+/-2.2" , "21.1+/-12.5" , 22
134 , "PCCS1 070 G240.68-44.39 " ,, 66.18833 , -37.96 , 240.683 , -44.39101 , "1153.7+/-174.7" , "1004.8+/-229.2" , "2308.1+/-110.3" , "607.9+/-158.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G240.67-44.38" , "11.3+/-3" , "10.8+/-2.8" , "71.7+/-91.5" , 11
135 , "PCCS1 070 G240.69-43.61 " ,, 67.1825 , -37.92222 , 240.686 , -43.606 , "2475+/-139" , "2511.3+/-211.8" , "2308.1+/-110.3" , "3565.7+/-179" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G240.70-43.61" , "19.8+/-1" , "15.2+/-0.8" , "28.3+/-7.8" , 17.3
136 , "PCCS1 070 G165.35-09.00 " ,, 67.55292 , 35.28389 , 165.345 , -9.003 , "1009+/-168.4" , "1678.8+/-417.2" , "847.8+/-170.5" , "6922.7+/-455" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G165.33-09.01" , "37.8+/-2.7" , "29.8+/-2.2" , "15.9+/-11.3" , 33.6
137 , "PCCS1 070 G190.37-27.40 " ,, 68.29583 , 5.35611 , 190.371 , -27.396 , "1834.5+/-180.5" , "1592.8+/-221.7" , "1494.5+/-98" , "1211.7+/-171.9" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G190.36-27.37" , "14.4+/-2.1" , "13.5+/-2" , "164.4+/-87.2" , 13.9
138 , "PCCS1 070 G170.59-11.70 " ,, 69.23292 , 29.63972 , 170.58501 , -11.704 , "897.7+/-182.2" , "1396.9+/-305.8" , "948.9+/-132.3" , "2253.7+/-271.4" , 1.4 , "Yes" , 0 , 2 , " " , "32.4+/-4.1" , "17.4+/-2.2" , "69.2+/-7.4" , 23.7
139 , "PCCS1 070 G284.17-35.87 " ,, 69.4975 , -71.82083 , 284.17499 , -35.868 , "517.4+/-109.9" , "9.5+/-201.3" , "329.3+/-62.6" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
140 , "PCCS1 070 G228.25-40.31 " ,, 69.515 , -28.31 , 228.24699 , -40.311 , "565.8+/-138.2" , "430.2+/-262.4" , "357.8+/-87.2" , "335+/-125.8" , 1.4 , "No" , 0 , 2 , " " , "22.8+/-0.4" , "9.2+/-4.1" , "135+/-17" , 14.5
141 , "PCCS1 070 G250.86-41.74 " ,, 69.7775 , -45.37861 , 250.86 , -41.742 , "529.7+/-131.4" , "421.8+/-132.2" , "270.8+/-93.5" , "431.9+/-101.1" , 1.4 , "No" , 0 , 2 , " " , "13.6+/-3.2" , "9.8+/-2.3" , "63.8+/-28.6" , 11.5
142 , "PCCS1 070 G248.46-41.58 " ,, 70.04833 , -43.59278 , 248.465 , -41.582 , "641.3+/-133.6" , "618.7+/-175.7" , "739.6+/-74.7" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G248.43-41.55" , "-" , "-" , "-" , -9.9
143 , "PCCS1 070 G155.36+02.59 " ,, 70.13625 , 50.44611 , 155.36301 , 2.591 , "1264.3+/-184.9" , "884.2+/-304.4" , "550.3+/-107.3" , "489+/-135.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G155.33+02.60" , "12.7+/-3.6" , "8.6+/-2.4" , "24.5+/-28.4" , 10.4
144 , "PCCS1 070 G281.86-36.40 " ,, 70.1675 , -69.88417 , 281.85501 , -36.405 , "712.7+/-127.3" , "309.1+/-187.2" , "1062.4+/-83.4" , "151.7+/-103.5" , 1.4 , "No" , 0 , 2 , " " , "10.2+/-7.1" , "7.6+/-5.3" , "49+/-93.1" , 8.8
145 , "PCCS1 070 G197.19-28.52 " ,, 70.61083 , -0.32028 , 197.194 , -28.518 , "1261+/-165" , "1165.6+/-276.7" , "1040.7+/-115" , "754.9+/-123.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G197.24-28.50" , "13.6+/-2.3" , "9.1+/-1.5" , "98.8+/-16.3" , 11.2
146 , "PCCS1 070 G166.45-06.56 " ,, 70.69333 , 36.08833 , 166.45 , -6.563 , "1900.7+/-187.8" , "1983.2+/-353" , "1909.9+/-126.5" , "2727.9+/-204.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G166.43-06.54" , "18.9+/-1.5" , "16.6+/-1.3" , "34.1+/-24.3" , 17.7
147 , "PCCS1 070 G239.47-39.86 " ,, 71.77375 , -36.68722 , 239.467 , -39.86 , "608.7+/-142.5" , "248.1+/-180.6" , "237.6+/-85.1" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
148 , "PCCS1 070 G187.39-20.73 " ,, 72.2625 , 11.38944 , 187.388 , -20.734 , "1317.4+/-178.7" , "1131.3+/-255" , "1175.1+/-102" , "942.9+/-144.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G187.40-20.71" , "16.1+/-2.5" , "8.9+/-1.4" , "18.2+/-10.1" , 12
149 , "PCCS1 070 G146.05+11.93 " ,, 72.36167 , 63.51806 , 146.05499 , 11.931 , "869.1+/-177.6" , "308.4+/-226.7" , "391.4+/-102.5" , "243.2+/-146.5" , 1.4 , "No" , 0 , 2 , " " , "14+/-8.6" , "10.1+/-6.2" , "46.1+/-74.3" , 11.9
150 , "PCCS1 070 G293.85-31.37 " ,, 72.52583 , -81.01833 , 293.85199 , -31.37 , "1491.9+/-119" , "1537.7+/-140.1" , "1494.1+/-63.7" , "1977+/-143.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G293.84-31.35" , "18.3+/-1.4" , "15+/-1.1" , "27.4+/-14.6" , 16.6
151 , "PCCS1 070 G280.88-35.66 " ,, 72.95833 , -69.39222 , 280.875 , -35.659 , "794+/-138.4" , "1007.4+/-182.8" , "1062.4+/-83.4" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G280.90-35.66" , "-" , "-" , "-" , -9.9
152 , "PCCS1 070 G229.03-36.99 " ,, 73.3375 , -28.13111 , 229.03101 , -36.994 , "2063.8+/-152.7" , "1982.2+/-239.6" , "1803.1+/-132.9" , "5626.2+/-395.3" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G229.04-37.01" , "46.5+/-3.4" , "19.1+/-1.5" , "53.5+/-2.9" , 29.8
153 , "PCCS1 070 G280.51-35.53 " ,, 73.56625 , -69.15222 , 280.513 , -35.528 , "789.4+/-135.2" , "797.8+/-225.7" , "1062.4+/-83.4" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
154 , "PCCS1 070 G251.98-38.79 " ,, 73.99792 , -46.27667 , 251.98199 , -38.789 , "1779.1+/-134.2" , "1763.2+/-261.8" , "1642.4+/-101" , "1467.6+/-141.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G251.97-38.80" , "15.1+/-1.5" , "11.5+/-1.1" , "14.5+/-14.6" , 13.2
155 , "PCCS1 070 G223.70-34.91 " ,, 74.24708 , -23.40833 , 223.698 , -34.909 , "1547.8+/-168.8" , "1613.6+/-292.4" , "1628.6+/-112.7" , "1634.2+/-171.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G223.69-34.87" , "18.9+/-2" , "11.8+/-1.3" , "18.4+/-8.9" , 14.9
